epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,313.641,1.33302,2.2121,1.03972,0.8556,0.46619,0.51629,0.29603,2.19809,1.48463,0.86226,0.00997727,0.00332576,0.00997727,0.00332576,0.00997727,0.00332576,0.00997727,0.00332576
2,558.001,1.34412,0.91866,1.01138,0.70883,0.32,0.34562,0.19901,2.56671,2.39473,0.96005,0.0198784,0.00662613,0.0198784,0.00662613,0.0198784,0.00662613,0.0198784,0.00662613
3,803.846,1.41696,0.91852,1.04597,0.80047,0.41162,0.45372,0.25779,2.28929,1.79592,0.90759,0.0296805,0.0098935,0.0296805,0.0098935,0.0296805,0.0098935,0.0296805,0.0098935
4,1046.91,1.40728,0.89771,1.05038,0.81574,0.49729,0.5468,0.30891,2.11458,1.69807,0.86659,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1288.83,1.34754,0.82597,1.03352,0.81784,0.41981,0.46162,0.27102,2.28906,1.84412,0.90559,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1530.47,1.31624,0.78815,1.01857,0.87006,0.5659,0.62498,0.36501,1.94283,1.10202,0.83813,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1772.89,1.29448,0.7657,1.01099,0.87641,0.57129,0.62975,0.36224,1.97482,1.03116,0.83806,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2015.4,1.27527,0.7441,1.00263,0.88477,0.56509,0.62461,0.3709,1.90722,1.06089,0.82887,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2256.83,1.26024,0.72854,0.9988,0.89043,0.58199,0.64048,0.38237,1.88286,1.01573,0.82967,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2498.89,1.25653,0.72179,0.99856,0.90451,0.592,0.65719,0.39872,1.8108,0.99704,0.82434,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,2742.2,1.24634,0.71142,0.99176,0.90206,0.61441,0.67553,0.4058,1.79442,0.93004,0.81403,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,2984.57,1.24243,0.70808,0.99115,0.89141,0.61842,0.67703,0.41098,1.78052,0.9172,0.81185,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,3255.6,1.23735,0.70115,0.98796,0.91155,0.61963,0.68141,0.41275,1.77406,0.93202,0.81452,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,3498.33,1.22586,0.69165,0.98626,0.91459,0.63634,0.69662,0.42443,1.74473,0.86471,0.80979,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,3740.22,1.23074,0.69407,0.98558,0.91083,0.6374,0.69963,0.42511,1.74785,0.85106,0.80945,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,3983.69,1.22742,0.69235,0.98423,0.90625,0.64042,0.70006,0.43066,1.7269,0.88054,0.8067,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,4225.79,1.22103,0.68841,0.98335,0.91893,0.64635,0.70843,0.43519,1.71157,0.83133,0.80672,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,4469.62,1.21332,0.68478,0.98153,0.9166,0.65407,0.7098,0.43829,1.70538,0.83101,0.80442,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,4712.15,1.2193,0.68591,0.98265,0.922,0.65558,0.71725,0.44307,1.68991,0.80206,0.80102,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,4954.38,1.21517,0.68179,0.98074,0.91801,0.66295,0.71901,0.44655,1.68017,0.79115,0.80048,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,5196.1,1.21546,0.67877,0.98206,0.91943,0.66219,0.72231,0.4503,1.67237,0.78892,0.79881,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,5438.68,1.21026,0.67578,0.98101,0.92375,0.66445,0.72554,0.45291,1.66212,0.78078,0.79817,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,5681.69,1.20652,0.67378,0.97788,0.92145,0.66997,0.729,0.45434,1.66232,0.78133,0.7965,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,5924.7,1.20324,0.66836,0.97552,0.92744,0.66917,0.72858,0.45653,1.65117,0.76928,0.79608,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,6166.78,1.20476,0.67085,0.97713,0.9268,0.67256,0.72894,0.45644,1.6501,0.76272,0.79567,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,6409.32,1.20923,0.67287,0.97856,0.9238,0.67274,0.72977,0.45831,1.64535,0.7745,0.79384,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,6652.8,1.20415,0.66999,0.97668,0.92442,0.67474,0.73093,0.46016,1.64058,0.76337,0.79407,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,6896.08,1.19371,0.66389,0.97418,0.92453,0.67607,0.73242,0.46106,1.63689,0.7647,0.79386,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,7153.56,1.19709,0.66234,0.97324,0.92048,0.67851,0.73498,0.46228,1.6356,0.765,0.79337,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,7396.02,1.19417,0.66297,0.9731,0.92504,0.67903,0.73636,0.46358,1.63149,0.76202,0.79308,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,7638.78,1.19495,0.66211,0.97376,0.92758,0.67844,0.73714,0.46375,1.63366,0.76346,0.79301,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,7881,1.19177,0.65985,0.97353,0.92717,0.67984,0.73746,0.46449,1.62923,0.75645,0.79236,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,8124.26,1.18969,0.65952,0.97279,0.92712,0.68071,0.73815,0.46587,1.62534,0.7544,0.79183,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,8366.95,1.18861,0.65744,0.97027,0.93004,0.6818,0.73945,0.46616,1.62378,0.75255,0.79129,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,8624.98,1.18574,0.65254,0.97034,0.92956,0.68195,0.73989,0.46714,1.6224,0.75293,0.79093,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,8868.49,1.18713,0.655,0.96988,0.92704,0.68399,0.74028,0.46768,1.62173,0.75123,0.79112,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,9110.82,1.18538,0.65289,0.97015,0.92666,0.68351,0.73993,0.46761,1.62018,0.75,0.79115,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,9353.74,1.1794,0.64872,0.96735,0.92883,0.68335,0.74091,0.46789,1.62046,0.74888,0.79119,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,9598.18,1.17979,0.64787,0.96791,0.92855,0.68486,0.74193,0.46803,1.61981,0.74783,0.79088,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,9840.97,1.17663,0.64653,0.96777,0.92777,0.68594,0.74232,0.46829,1.61908,0.74653,0.79065,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,10082.1,1.17712,0.64747,0.968,0.92986,0.68497,0.74155,0.46845,1.61825,0.74472,0.79046,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,10322.6,1.17106,0.6443,0.96401,0.93119,0.68447,0.7416,0.4686,1.61669,0.7444,0.79034,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,10564.3,1.17686,0.64758,0.96651,0.93151,0.68507,0.74205,0.46878,1.61584,0.7434,0.79032,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,10805.8,1.17344,0.64136,0.96437,0.92956,0.686,0.74298,0.46899,1.61463,0.74172,0.7903,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,11048,1.1737,0.64248,0.96726,0.92884,0.68723,0.74344,0.4691,1.61338,0.7412,0.7902,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,11288.8,1.17034,0.64092,0.96452,0.92866,0.68725,0.74367,0.46934,1.61228,0.73943,0.79006,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,11530.9,1.17576,0.64453,0.9664,0.92745,0.68867,0.74388,0.46934,1.61207,0.73823,0.7899,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,11772.6,1.17273,0.64166,0.96662,0.92863,0.68815,0.74444,0.46962,1.61152,0.73708,0.78984,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,12013.4,1.16794,0.63943,0.96604,0.92895,0.68863,0.74473,0.46994,1.61033,0.73567,0.78976,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,12254.8,1.17196,0.64014,0.96382,0.93023,0.68858,0.74482,0.47021,1.60913,0.73403,0.78971,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,12496.2,1.1677,0.63729,0.96569,0.93151,0.68923,0.74521,0.47025,1.60843,0.7326,0.78965,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,12737.3,1.16342,0.63572,0.96302,0.93112,0.68944,0.74499,0.47044,1.60781,0.7315,0.78961,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,12978.6,1.16798,0.63853,0.96262,0.93126,0.68879,0.74533,0.47072,1.60809,0.72997,0.78952,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
