epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3860.87,1.34464,0.50105,0.19454,0.83726,0.49914,0.5691,0.27467,0.87388,0.46117,0.09505,0.00999629,0.0033321,0.00999629,0.0033321,0.00999629,0.0033321,0.00999629,0.0033321
2,7716.14,1.35033,0.25484,0.11655,0.64063,0.42407,0.47578,0.24985,0.95757,0.42761,0.12052,0.0198313,0.00661044,0.0198313,0.00661044,0.0198313,0.00661044,0.0198313,0.00661044
3,11570.7,1.42411,0.25784,0.14917,0.67551,0.38888,0.43974,0.21981,1.01577,0.45684,0.15124,0.0295014,0.00983378,0.0295014,0.00983378,0.0295014,0.00983378,0.0295014,0.00983378
4,15425,1.51141,0.25904,0.19111,0.6603,0.32064,0.37742,0.17163,1.14091,0.39221,0.18254,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,19278.2,1.5381,0.25039,0.20458,0.60232,0.37802,0.40231,0.16396,1.0885,0.42376,0.17913,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,23125.4,1.50324,0.27439,0.18921,0.62236,0.41135,0.43356,0.18595,1.09453,0.39174,0.17843,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,26969.2,1.55618,0.25507,0.19527,0.60578,0.36599,0.39665,0.12573,1.1791,0.35826,0.20091,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,30814.2,1.56738,0.25692,0.19512,0.60841,0.33855,0.35546,0.09594,1.24147,0.32298,0.21115,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,34664.7,1.59751,0.24305,0.19527,0.63692,0.32738,0.34271,0.08659,1.2566,0.31515,0.21381,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,38516.1,1.60516,0.24344,0.19199,0.56702,0.24013,0.2571,0.05798,1.29849,0.30795,0.21649,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
