model,seed,final_epoch_or_iteration,precision,recall,mAP50,mAP50_95,bbox_AP,bbox_AP50,bbox_AP75,bbox_APs,bbox_APm,bbox_APl,status
RT-DETR-L,1,120,0.97894,0.95987,0.97845,0.67942,,,,,,,complete
RT-DETR-L,2,120,0.98157,0.96117,0.97814,0.67529,,,,,,,complete
RT-DETR-L,3,120,0.97912,0.96107,0.97782,0.67576,,,,,,,complete
Faster R-CNN R50-FPN,1,2062560,,,,,64.602404,96.881266,74.278056,59.445613,75.409211,77.496437,complete
Faster R-CNN R50-FPN,2,2062560,,,,,64.666411,97.679438,74.487046,59.802294,75.476138,76.856893,complete
Faster R-CNN R50-FPN,3,2062560,,,,,64.429039,97.611005,74.043667,59.203048,75.652080,77.329541,complete
