epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,70349.7,1.40206,1.00799,1.26802,0.86949,0.64344,0.71927,0.42858,1.76342,1.18822,0.9843,0.007921,0.007921,0.007921
44,71642,1.33357,0.91833,1.22722,0.87513,0.6133,0.69136,0.4233,1.77602,1.30701,0.98218,0.0078715,0.0078715,0.0078715
45,74161.7,1.60117,1.31067,1.40824,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.007822,0.007822,0.007822
46,75455.3,1.55806,1.22712,1.36955,0.84673,0.59762,0.67397,0.39039,1.84994,1.32742,1.01659,0.0077725,0.0077725,0.0077725
47,76748.3,1.40334,1.00934,1.2667,0.87442,0.64937,0.72123,0.43148,1.76306,1.18187,0.98038,0.007723,0.007723,0.007723
48,78039.9,1.33621,0.91421,1.22546,0.87076,0.61853,0.69716,0.42489,1.75418,1.27317,0.97636,0.0076735,0.0076735,0.0076735
49,79331.5,1.29294,0.85534,1.19851,0.8757,0.6181,0.69523,0.42933,1.74444,1.29919,0.97126,0.007624,0.007624,0.007624
50,81847.8,1.59976,1.31319,1.41155,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.0075745,0.0075745,0.0075745
51,83143.6,1.55199,1.21257,1.36553,0.82765,0.58291,0.65799,0.37974,1.9013,1.3968,1.02213,0.007525,0.007525,0.007525
52,85667.5,1.59708,1.3074,1.40852,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.0074755,0.0074755,0.0074755
53,86964.4,1.54882,1.21452,1.35779,0.84069,0.60043,0.67435,0.39465,1.85652,1.30032,1.01136,0.007426,0.007426,0.007426
54,88258.5,1.40369,1.00767,1.26849,0.87914,0.64943,0.72417,0.43311,1.76891,1.18768,0.98259,0.0073765,0.0073765,0.0073765
55,89552.5,1.33518,0.91235,1.22261,0.88597,0.64397,0.72188,0.44408,1.71998,1.18743,0.96678,0.007327,0.007327,0.007327
56,90843.6,1.29455,0.85321,1.19722,0.88276,0.6253,0.7059,0.43798,1.71269,1.264,0.96458,0.0072775,0.0072775,0.0072775
57,93360.8,1.59779,1.30864,1.40642,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.007228,0.007228,0.007228
58,94654.3,1.54975,1.21024,1.36132,0.84078,0.60511,0.6741,0.39684,1.85402,1.3279,1.01665,0.0071785,0.0071785,0.0071785
59,95947.3,1.40542,1.0054,1.26727,0.8817,0.64791,0.72095,0.43091,1.76282,1.16503,0.983,0.007129,0.007129,0.007129
60,97239,1.33742,0.91389,1.22507,0.88436,0.63913,0.71621,0.43612,1.74101,1.19645,0.96928,0.0070795,0.0070795,0.0070795
61,99762.8,1.59552,1.30472,1.40868,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.00703,0.00703,0.00703
62,101058,1.54684,1.2052,1.36079,0.83692,0.59112,0.66915,0.39364,1.84268,1.31549,1.01496,0.0069805,0.0069805,0.0069805
63,102350,1.40526,1.00898,1.27002,0.88609,0.64894,0.72659,0.43621,1.75292,1.16693,0.98407,0.006931,0.006931,0.006931
64,103643,1.3325,0.90794,1.22634,0.88169,0.65545,0.72654,0.44544,1.72032,1.16053,0.96987,0.0068815,0.0068815,0.0068815
65,104924,nan,nan,nan,0,0,0,0,nan,nan,nan,0.006832,0.006832,0.006832
66,107443,1.59927,1.30804,1.41113,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.0067825,0.0067825,0.0067825
67,108738,1.54486,1.20611,1.35659,0.84946,0.58488,0.66418,0.3872,1.87081,1.36673,1.01453,0.006733,0.006733,0.006733
68,110032,1.40426,1.00224,1.26571,0.87995,0.64154,0.7204,0.43163,1.75693,1.17512,0.98157,0.0066835,0.0066835,0.0066835
69,111325,1.3298,0.90509,1.21947,0.89636,0.66744,0.7423,0.45142,1.71203,1.11237,0.9645,0.006634,0.006634,0.006634
70,112617,1.29081,0.84949,1.19777,0.89607,0.62851,0.70787,0.43956,1.71089,1.27147,0.96363,0.0065845,0.0065845,0.0065845
71,115139,1.59591,1.30935,1.40973,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.006535,0.006535,0.006535
72,116433,1.53902,1.19567,1.36073,0.85555,0.59117,0.67013,0.38877,1.8715,1.33761,1.01474,0.0064855,0.0064855,0.0064855
73,118952,1.59838,1.31176,1.40933,0.76392,0.46154,0.52881,0.28537,2.1316,1.77328,1.1211,0.006436,0.006436,0.006436
