epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3860.86,1.3504,0.5036,0.19764,0.7696,0.5646,0.60626,0.32313,0.8306,0.45101,0.10308,0.00999629,0.0033321,0.00999629,0.0033321,0.00999629,0.0033321,0.00999629,0.0033321
2,7718.4,1.35478,0.25385,0.1181,0.63232,0.33768,0.40196,0.2159,0.96508,0.53038,0.11741,0.0198313,0.00661044,0.0198313,0.00661044,0.0198313,0.00661044,0.0198313,0.00661044
3,11572.6,1.43857,0.25394,0.15278,0.6895,0.40283,0.44863,0.20069,1.02733,0.45561,0.15906,0.0295014,0.00983378,0.0295014,0.00983378,0.0295014,0.00983378,0.0295014,0.00983378
4,15424.2,1.51367,0.25494,0.19175,0.63934,0.35613,0.38969,0.18114,1.09264,0.41814,0.16392,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,19274.6,1.5244,0.26217,0.19349,0.82163,0.2946,0.33883,0.13734,1.22654,0.34837,0.17952,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,23124.7,1.51199,0.27043,0.18955,0.73855,0.3873,0.44973,0.19444,1.0648,0.40274,0.14831,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,26974,1.51396,0.26956,0.18799,0.76321,0.33701,0.39339,0.16121,1.14245,0.36192,0.16334,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,30824.7,1.53237,0.27121,0.18114,0.75341,0.37279,0.41918,0.15984,1.13096,0.36615,0.17019,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,34674.5,1.57227,0.25414,0.19417,0.74089,0.36146,0.40955,0.13634,1.14997,0.36538,0.18584,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,38524.7,1.56184,0.25833,0.18673,0.71165,0.34184,0.38414,0.11252,1.17364,0.36302,0.19589,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,42373.3,1.60041,0.25491,0.1886,0.71867,0.3156,0.3404,0.09076,1.25597,0.31796,0.21146,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,46220.8,1.59592,0.25095,0.18656,0.67046,0.28974,0.30213,0.06843,1.28614,0.30935,0.23057,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,50064.6,1.74608,0.20168,0.21102,0.66766,0.29434,0.31434,0.07512,1.28317,0.31543,0.22922,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,53910.1,1.69834,0.22404,0.20162,0.67815,0.24941,0.27943,0.06663,1.30152,0.31655,0.2219,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
15,57753.7,1.89494,0.16588,0.23541,0.70963,0.23064,0.26159,0.06914,1.31099,0.3292,0.20989,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
16,61596.9,2.0027,0.13445,0.24739,0.55516,0.26952,0.27661,0.08967,1.27133,0.35871,0.18696,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
17,65438.1,1.98963,0.13395,0.24943,0.52202,0.30447,0.28661,0.10276,1.24704,0.36912,0.173,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
18,69280.9,1.98165,0.13777,0.24671,0.52764,0.32787,0.31099,0.118,1.22646,0.37383,0.16174,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
19,73122.4,1.96929,0.13977,0.23764,0.56418,0.34618,0.33606,0.13097,1.21511,0.37189,0.15301,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
20,76963.3,1.96273,0.13501,0.24211,0.59875,0.3647,0.36445,0.1442,1.1943,0.37936,0.1456,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325
21,80807.6,1.94993,0.14385,0.23387,0.6226,0.38395,0.38512,0.15404,1.17956,0.37911,0.13833,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
22,84653.5,1.94893,0.14047,0.23995,0.63808,0.40078,0.39681,0.16195,1.17066,0.37307,0.13272,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
23,88499.3,1.92502,0.14621,0.22407,0.63157,0.41432,0.40587,0.17006,1.15471,0.37314,0.12686,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
