epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,10850,1.76179,0.87,0.88343,0.90692,0.6773,0.7332,0.46291,1.83814,0.76638,0.77402,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,11197.9,1.7597,0.86757,0.88469,0.90752,0.67618,0.73333,0.46238,1.83576,0.76676,0.774,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,11546.8,1.75784,0.86645,0.88237,0.90861,0.67591,0.73346,0.46214,1.83443,0.76619,0.77378,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,11895.2,1.75642,0.86216,0.88217,0.90884,0.67683,0.73362,0.46206,1.83375,0.76581,0.77368,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,12243.1,1.74416,0.85742,0.8816,0.91025,0.67461,0.73384,0.46151,1.83348,0.76813,0.77332,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,12591.4,1.74475,0.85587,0.88187,0.90652,0.6752,0.7343,0.46229,1.83243,0.76937,0.77311,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,12939,1.7494,0.86093,0.88235,0.90348,0.67531,0.733,0.46217,1.83143,0.7692,0.77323,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,13286.8,1.74682,0.85866,0.88099,0.90081,0.67585,0.73367,0.4629,1.83065,0.76772,0.77318,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,13634.2,1.74553,0.85615,0.88085,0.89705,0.67851,0.73418,0.46357,1.82895,0.76865,0.77302,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,13981.5,1.74464,0.85643,0.87951,0.89821,0.67547,0.73303,0.46342,1.82823,0.77039,0.77291,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
