epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,120998,1.89988,0.16207,0.20291,0.56993,0.24515,0.2843,0.1125,1.20427,0.3973,0.13045,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,124905,1.90175,0.16375,0.20077,0.54953,0.27502,0.29741,0.12191,1.21212,0.37461,0.12418,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,128811,1.88958,0.16295,0.20468,0.58587,0.30322,0.32258,0.13525,1.19487,0.36986,0.12007,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,132720,1.89088,0.16644,0.19909,0.60593,0.3386,0.35685,0.14916,1.17221,0.3718,0.11561,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,136628,1.87322,0.16552,0.19518,0.62504,0.37527,0.39081,0.16126,1.15004,0.38017,0.11151,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,140535,1.8728,0.17153,0.19095,0.65484,0.40115,0.41745,0.17044,1.13602,0.38428,0.10833,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,144442,1.88267,0.16897,0.19105,0.67192,0.41237,0.43165,0.17325,1.12892,0.38817,0.10759,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,148350,1.85776,0.17383,0.18745,0.70221,0.41895,0.44133,0.17657,1.12784,0.38345,0.10719,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,152256,1.86456,0.17193,0.18495,0.68667,0.42148,0.4402,0.17597,1.12348,0.38229,0.10738,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,156165,1.85984,0.17219,0.18015,0.69623,0.42752,0.4467,0.17982,1.11566,0.37815,0.10654,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
