epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,119369,1.63518,0.2437,0.16406,0.53875,0.29276,0.34587,0.16467,1.00204,0.524,0.11334,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
32,123218,1.71783,0.21268,0.18536,0.48247,0.29373,0.33339,0.15804,1.01701,0.52609,0.10969,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425,0.0223275,0.0074425
33,127064,1.64637,0.24123,0.16421,0.518,0.29837,0.33399,0.15929,1.11276,0.43423,0.10939,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
34,130910,1.63742,0.24391,0.16434,0.57289,0.30641,0.36409,0.17887,1.02005,0.48318,0.10511,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
35,134756,1.62016,0.24769,0.15672,0.51293,0.29934,0.33654,0.16347,1.13115,0.41215,0.10853,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
36,138600,1.58147,0.25725,0.1547,0.53682,0.28527,0.32548,0.15752,1.1254,0.41687,0.10859,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125,0.0213375,0.0071125
37,142445,1.58127,0.251,0.15527,0.59429,0.30225,0.3485,0.17303,1.05942,0.45206,0.10309,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
38,146289,1.86368,0.16843,0.19111,0.56015,0.35537,0.38439,0.17676,1.04763,0.44118,0.102,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475,0.0208425,0.0069475
39,150131,1.84505,0.17385,0.18127,0.5701,0.37129,0.38026,0.16851,1.11868,0.39734,0.10325,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
40,153971,1.56354,0.26747,0.14908,0.52191,0.31476,0.33326,0.15142,1.15547,0.39039,0.10396,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
41,157816,1.56679,0.2559,0.14761,0.63235,0.25383,0.30753,0.142,1.18652,0.38966,0.10542,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
42,161664,1.62946,0.24183,0.15461,0.59076,0.29129,0.33946,0.15843,1.13572,0.42886,0.10333,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175,0.0198525,0.0066175
