epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,315.024,1.33709,2.18241,1.03003,0.83939,0.45621,0.50263,0.28297,2.24305,1.52408,0.88463,0.00997727,0.00332576,0.00997727,0.00332576,0.00997727,0.00332576,0.00997727,0.00332576
2,595.906,1.34573,0.91276,1.013,0.81296,0.45401,0.50584,0.2935,2.21617,1.51013,0.86976,0.0198784,0.00662613,0.0198784,0.00662613,0.0198784,0.00662613,0.0198784,0.00662613
3,938.314,1.41256,0.91218,1.04364,0.67457,0.38681,0.40498,0.22073,2.38105,2.53764,0.92212,0.0296805,0.0098935,0.0296805,0.0098935,0.0296805,0.0098935,0.0296805,0.0098935
4,1210.06,1.40663,0.89702,1.0493,0.84678,0.49795,0.54719,0.31178,2.08876,1.50084,0.86414,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1489.39,1.34688,0.82532,1.03003,0.86807,0.52265,0.58151,0.33463,2.05282,1.25748,0.85789,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1786,1.31541,0.7872,1.01756,0.86246,0.54314,0.60113,0.35135,1.96901,1.17059,0.84029,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2071.33,1.29448,0.76295,1.01072,0.87913,0.52017,0.57409,0.33967,2.07835,1.28104,0.84198,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2392.16,1.2774,0.74629,1.00332,0.89433,0.58417,0.64636,0.3791,1.89627,0.99368,0.83069,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2683.29,1.25768,0.72838,0.99788,0.88776,0.57005,0.62996,0.37051,1.91752,1.07973,0.83352,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2958.13,1.25619,0.72223,0.99793,0.8921,0.58274,0.64706,0.39031,1.84323,0.99667,0.82425,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3250.57,1.24745,0.71401,0.99241,0.90538,0.60451,0.66812,0.40092,1.81385,0.95389,0.81476,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3561.65,1.2424,0.70828,0.98982,0.90334,0.62128,0.68124,0.41457,1.7655,0.91002,0.81331,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,3819.65,1.23665,0.70198,0.98644,0.90178,0.62678,0.68671,0.41789,1.76567,0.88417,0.81134,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,4101.16,1.22618,0.69256,0.98512,0.90716,0.63019,0.69037,0.42155,1.75952,0.86472,0.80818,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,4397.11,1.22956,0.6951,0.98241,0.91464,0.64139,0.70371,0.43113,1.7356,0.83699,0.80647,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,4693.51,1.22621,0.69386,0.98248,0.9153,0.64914,0.70874,0.43447,1.7224,0.83106,0.80746,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,5012.32,1.21897,0.68775,0.98106,0.91575,0.65218,0.71182,0.44083,1.70277,0.80753,0.80216,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,5304.81,1.21517,0.68635,0.98053,0.91854,0.6573,0.71359,0.44083,1.69762,0.80274,0.80385,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
