epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,381.037,1.3321,2.29189,1.0384,0.86385,0.46549,0.51963,0.30236,2.15918,1.44538,0.85695,0.00997727,0.00332576,0.00997727,0.00332576,0.00997727,0.00332576,0.00997727,0.00332576
2,621.121,1.34468,0.91853,1.01252,0.82731,0.45033,0.49932,0.28411,2.22532,1.58879,0.874,0.0198784,0.00662613,0.0198784,0.00662613,0.0198784,0.00662613,0.0198784,0.00662613
3,860.721,1.4163,0.91422,1.04394,0.78307,0.40806,0.45146,0.25394,2.28513,1.72811,0.91646,0.0296805,0.0098935,0.0296805,0.0098935,0.0296805,0.0098935,0.0296805,0.0098935
4,1100.75,1.40736,0.89743,1.0502,0.81138,0.48088,0.52488,0.30113,2.14242,1.7782,0.86683,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1339.95,1.34315,0.8249,1.03089,0.87534,0.51235,0.56472,0.3286,2.0943,1.27403,0.85708,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1579.55,1.3137,0.7869,1.01668,0.87581,0.54684,0.61315,0.36005,1.93906,1.14889,0.83743,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1822.11,1.29213,0.76302,1.00891,0.87805,0.5316,0.58966,0.35588,1.97353,1.26814,0.84368,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2060.63,1.27688,0.74168,1.004,0.88926,0.54918,0.61333,0.36481,1.93953,1.2077,0.83282,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,2298.98,1.25656,0.72618,0.99971,0.89473,0.59537,0.64869,0.37925,1.90931,0.99458,0.82933,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,2538.41,1.25503,0.71875,0.99801,0.88895,0.60753,0.66817,0.39818,1.8267,0.94066,0.82286,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,2783.53,1.24364,0.7101,0.99061,0.89034,0.6016,0.66328,0.39932,1.82302,0.96713,0.81728,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,3033.33,1.24181,0.70616,0.99045,0.88791,0.58952,0.65193,0.39951,1.81491,1.03515,0.81564,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,3272.49,1.23383,0.69899,0.98758,0.90944,0.6312,0.69099,0.41545,1.77327,0.87669,0.81323,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
