epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1362.79,1.51192,1.16722,1.33652,0.0514,0.44872,0.03272,0.01746,1.9343,210.048,1.05381,0.00333256,0.00333256,0.070007
2,2655.29,nan,nan,nan,0.79132,0.53883,0.60997,0.34252,nan,nan,nan,0.00663289,0.00663289,0.039974
3,3933.37,nan,nan,nan,0.7893,0.53893,0.60985,0.34238,nan,nan,nan,0.00990023,0.00990023,0.00990799
4,5210.87,nan,nan,nan,0.78743,0.5398,0.60943,0.34203,nan,nan,nan,0.0098515,0.0098515,0.0098515
5,6489.55,nan,nan,nan,0.78748,0.53974,0.60958,0.3422,nan,nan,nan,0.009802,0.009802,0.009802
6,7768.57,nan,nan,nan,0.78779,0.53974,0.60942,0.34216,nan,nan,nan,0.0097525,0.0097525,0.0097525
7,9047.1,nan,nan,nan,0.78732,0.53964,0.60948,0.34213,nan,nan,nan,0.009703,0.009703,0.009703
8,10325,nan,nan,nan,0.78722,0.53991,0.60945,0.34209,nan,nan,nan,0.0096535,0.0096535,0.0096535
9,11603.1,nan,nan,nan,0.78703,0.53965,0.6095,0.34217,nan,nan,nan,0.009604,0.009604,0.009604
10,12881.7,nan,nan,nan,0.78712,0.5398,0.60945,0.34217,nan,nan,nan,0.0095545,0.0095545,0.0095545
11,14158.9,nan,nan,nan,0.7871,0.53974,0.60947,0.34216,nan,nan,nan,0.009505,0.009505,0.009505
12,15435.8,nan,nan,nan,0.78706,0.5398,0.60944,0.34214,nan,nan,nan,0.0094555,0.0094555,0.0094555
13,16712.9,nan,nan,nan,0.78681,0.5398,0.60946,0.34212,nan,nan,nan,0.009406,0.009406,0.009406
14,17989.5,nan,nan,nan,0.78713,0.53964,0.60934,0.34213,nan,nan,nan,0.0093565,0.0093565,0.0093565
15,19266.3,nan,nan,nan,0.78737,0.5398,0.60951,0.34213,nan,nan,nan,0.009307,0.009307,0.009307
16,20534.6,nan,nan,nan,0.78746,0.53969,0.60946,0.34209,nan,nan,nan,0.0092575,0.0092575,0.0092575
17,21798.6,nan,nan,nan,0.78746,0.53969,0.60949,0.34216,nan,nan,nan,0.009208,0.009208,0.009208
18,23063.6,nan,nan,nan,0.78733,0.53969,0.60947,0.34217,nan,nan,nan,0.0091585,0.0091585,0.0091585
19,24327.6,nan,nan,nan,0.78832,0.53922,0.60945,0.34211,nan,nan,nan,0.009109,0.009109,0.009109
20,25592,nan,nan,nan,0.78719,0.53964,0.60942,0.34215,nan,nan,nan,0.0090595,0.0090595,0.0090595
21,26856.4,nan,nan,nan,0.78598,0.54001,0.60936,0.34213,nan,nan,nan,0.00901,0.00901,0.00901
22,28120.9,nan,nan,nan,0.78814,0.53931,0.60942,0.34208,nan,nan,nan,0.0089605,0.0089605,0.0089605
23,29385.1,nan,nan,nan,0.7884,0.53928,0.60944,0.34217,nan,nan,nan,0.008911,0.008911,0.008911
24,30650.3,nan,nan,nan,0.78681,0.5398,0.60943,0.3422,nan,nan,nan,0.0088615,0.0088615,0.0088615
25,31913.9,nan,nan,nan,0.78708,0.53981,0.60945,0.34212,nan,nan,nan,0.008812,0.008812,0.008812
26,33178.9,nan,nan,nan,0.787,0.5398,0.60942,0.34213,nan,nan,nan,0.0087625,0.0087625,0.0087625
27,34443.3,nan,nan,nan,0.78695,0.53985,0.60942,0.34211,nan,nan,nan,0.008713,0.008713,0.008713
28,35707.2,nan,nan,nan,0.78669,0.5398,0.60944,0.34218,nan,nan,nan,0.0086635,0.0086635,0.0086635
29,36972.4,nan,nan,nan,0.78681,0.53976,0.60943,0.34213,nan,nan,nan,0.008614,0.008614,0.008614
30,38237.4,nan,nan,nan,0.78709,0.53969,0.60946,0.34217,nan,nan,nan,0.0085645,0.0085645,0.0085645
31,39501.7,nan,nan,nan,0.78692,0.53974,0.60947,0.34217,nan,nan,nan,0.008515,0.008515,0.008515
32,40766.3,nan,nan,nan,0.78678,0.53969,0.60937,0.34217,nan,nan,nan,0.0084655,0.0084655,0.0084655
33,42029.9,nan,nan,nan,0.78714,0.53985,0.6095,0.34217,nan,nan,nan,0.008416,0.008416,0.008416
34,43293.3,nan,nan,nan,0.78701,0.53964,0.60945,0.34216,nan,nan,nan,0.0083665,0.0083665,0.0083665
35,44556.4,nan,nan,nan,0.7867,0.53985,0.60944,0.34212,nan,nan,nan,0.008317,0.008317,0.008317
36,45819.2,nan,nan,nan,0.78604,0.54006,0.6095,0.3421,nan,nan,nan,0.0082675,0.0082675,0.0082675
37,47081.9,nan,nan,nan,0.78687,0.5398,0.60941,0.34213,nan,nan,nan,0.008218,0.008218,0.008218
38,48344.8,nan,nan,nan,0.787,0.53976,0.60947,0.3421,nan,nan,nan,0.0081685,0.0081685,0.0081685
39,49607,nan,nan,nan,0.7871,0.53974,0.60936,0.3421,nan,nan,nan,0.008119,0.008119,0.008119
40,50869.1,nan,nan,nan,0.78714,0.53981,0.60944,0.34211,nan,nan,nan,0.0080695,0.0080695,0.0080695
41,52131.5,nan,nan,nan,0.78671,0.53981,0.60938,0.34208,nan,nan,nan,0.00802,0.00802,0.00802
42,53394.3,nan,nan,nan,0.78665,0.53969,0.60928,0.34206,nan,nan,nan,0.0079705,0.0079705,0.0079705
43,54656.9,nan,nan,nan,0.78632,0.5398,0.60927,0.34207,nan,nan,nan,0.007921,0.007921,0.007921
44,55919.5,nan,nan,nan,0.78678,0.53969,0.60941,0.34216,nan,nan,nan,0.0078715,0.0078715,0.0078715
45,57182.4,nan,nan,nan,0.7863,0.53974,0.60943,0.34211,nan,nan,nan,0.007822,0.007822,0.007822
46,58445.5,nan,nan,nan,0.78649,0.53974,0.60929,0.34209,nan,nan,nan,0.0077725,0.0077725,0.0077725
47,59708.5,nan,nan,nan,0.78642,0.53974,0.6093,0.3421,nan,nan,nan,0.007723,0.007723,0.007723
48,60971.3,nan,nan,nan,0.78749,0.53942,0.60931,0.34206,nan,nan,nan,0.0076735,0.0076735,0.0076735
49,62233.6,nan,nan,nan,0.78663,0.5398,0.60945,0.34214,nan,nan,nan,0.007624,0.007624,0.007624
50,63496,nan,nan,nan,0.78683,0.53985,0.60941,0.34209,nan,nan,nan,0.0075745,0.0075745,0.0075745
51,64758.4,nan,nan,nan,0.78647,0.53969,0.60929,0.34217,nan,nan,nan,0.007525,0.007525,0.007525
52,66020.8,nan,nan,nan,0.78669,0.5398,0.60938,0.34204,nan,nan,nan,0.0074755,0.0074755,0.0074755
53,67283.2,nan,nan,nan,0.78644,0.5398,0.60935,0.34209,nan,nan,nan,0.007426,0.007426,0.007426
54,68546,nan,nan,nan,0.78673,0.53974,0.60941,0.34205,nan,nan,nan,0.0073765,0.0073765,0.0073765
55,69809.1,nan,nan,nan,0.78678,0.53969,0.60941,0.34214,nan,nan,nan,0.007327,0.007327,0.007327
56,71071.9,nan,nan,nan,0.78663,0.5398,0.60939,0.34217,nan,nan,nan,0.0072775,0.0072775,0.0072775
57,72334.5,nan,nan,nan,0.78673,0.53974,0.60933,0.34211,nan,nan,nan,0.007228,0.007228,0.007228
58,73596.7,nan,nan,nan,0.78664,0.53985,0.60937,0.34208,nan,nan,nan,0.0071785,0.0071785,0.0071785
59,74857.8,nan,nan,nan,0.78644,0.5398,0.60941,0.34215,nan,nan,nan,0.007129,0.007129,0.007129
60,76119.2,nan,nan,nan,0.78633,0.53985,0.60946,0.34218,nan,nan,nan,0.0070795,0.0070795,0.0070795
61,77380,nan,nan,nan,0.78644,0.5398,0.60948,0.34205,nan,nan,nan,0.00703,0.00703,0.00703
62,78641.3,nan,nan,nan,0.78666,0.53991,0.60942,0.34216,nan,nan,nan,0.0069805,0.0069805,0.0069805
63,79903.2,nan,nan,nan,0.78706,0.5398,0.60947,0.34219,nan,nan,nan,0.006931,0.006931,0.006931
64,81163.7,nan,nan,nan,0.78695,0.53981,0.60945,0.34208,nan,nan,nan,0.0068815,0.0068815,0.0068815
65,82424.4,nan,nan,nan,0.78677,0.53981,0.60939,0.34204,nan,nan,nan,0.006832,0.006832,0.006832
66,83685.1,nan,nan,nan,0.78812,0.53926,0.60948,0.34214,nan,nan,nan,0.0067825,0.0067825,0.0067825
67,84944.9,nan,nan,nan,0.78649,0.53974,0.60944,0.34218,nan,nan,nan,0.006733,0.006733,0.006733
68,86208,nan,nan,nan,0.78658,0.53985,0.6095,0.34213,nan,nan,nan,0.0066835,0.0066835,0.0066835
69,87469.6,nan,nan,nan,0.78641,0.53969,0.60938,0.34213,nan,nan,nan,0.006634,0.006634,0.006634
70,88730.5,nan,nan,nan,0.78811,0.53933,0.60944,0.34205,nan,nan,nan,0.0065845,0.0065845,0.0065845
71,89992,nan,nan,nan,0.78677,0.53985,0.60943,0.34216,nan,nan,nan,0.006535,0.006535,0.006535
72,91253.5,nan,nan,nan,0.78649,0.53974,0.60935,0.34206,nan,nan,nan,0.0064855,0.0064855,0.0064855
73,92515.5,nan,nan,nan,0.78692,0.5397,0.60946,0.34215,nan,nan,nan,0.006436,0.006436,0.006436
74,93777.3,nan,nan,nan,0.78679,0.53974,0.60933,0.34216,nan,nan,nan,0.0063865,0.0063865,0.0063865
75,95039.3,nan,nan,nan,0.78679,0.53974,0.6094,0.34211,nan,nan,nan,0.006337,0.006337,0.006337
76,96301.9,nan,nan,nan,0.78713,0.53964,0.60944,0.34212,nan,nan,nan,0.0062875,0.0062875,0.0062875
77,97563.9,nan,nan,nan,0.78712,0.5398,0.60945,0.34213,nan,nan,nan,0.006238,0.006238,0.006238
78,98826.2,nan,nan,nan,0.78709,0.53969,0.60943,0.34216,nan,nan,nan,0.0061885,0.0061885,0.0061885
79,100089,nan,nan,nan,0.787,0.5398,0.60932,0.34219,nan,nan,nan,0.006139,0.006139,0.006139
80,101351,nan,nan,nan,0.78683,0.53985,0.60936,0.3421,nan,nan,nan,0.0060895,0.0060895,0.0060895
81,102614,nan,nan,nan,0.78673,0.53974,0.60949,0.34214,nan,nan,nan,0.00604,0.00604,0.00604
82,103876,nan,nan,nan,0.78683,0.53985,0.60955,0.34212,nan,nan,nan,0.0059905,0.0059905,0.0059905
83,105139,nan,nan,nan,0.78712,0.53976,0.60937,0.34209,nan,nan,nan,0.005941,0.005941,0.005941
84,106401,nan,nan,nan,0.78706,0.5398,0.60937,0.34213,nan,nan,nan,0.0058915,0.0058915,0.0058915
85,107663,nan,nan,nan,0.7865,0.5398,0.60934,0.34214,nan,nan,nan,0.005842,0.005842,0.005842
86,108926,nan,nan,nan,0.78683,0.53985,0.60936,0.3421,nan,nan,nan,0.0057925,0.0057925,0.0057925
87,110188,nan,nan,nan,0.78671,0.53981,0.60947,0.3421,nan,nan,nan,0.005743,0.005743,0.005743
88,111450,nan,nan,nan,0.78663,0.5398,0.60942,0.34216,nan,nan,nan,0.0056935,0.0056935,0.0056935
89,112712,nan,nan,nan,0.78699,0.53992,0.60948,0.34216,nan,nan,nan,0.005644,0.005644,0.005644
90,113974,nan,nan,nan,0.78685,0.53986,0.60948,0.34209,nan,nan,nan,0.0055945,0.0055945,0.0055945
91,115236,nan,nan,nan,0.78645,0.53997,0.60944,0.34209,nan,nan,nan,0.005545,0.005545,0.005545
92,116499,nan,nan,nan,0.78666,0.53986,0.6094,0.34212,nan,nan,nan,0.0054955,0.0054955,0.0054955
93,117762,nan,nan,nan,0.78803,0.53949,0.60944,0.34216,nan,nan,nan,0.005446,0.005446,0.005446
94,119025,nan,nan,nan,0.78646,0.53985,0.60927,0.34206,nan,nan,nan,0.0053965,0.0053965,0.0053965
95,120287,nan,nan,nan,0.78638,0.5398,0.60939,0.34204,nan,nan,nan,0.005347,0.005347,0.005347
96,121549,nan,nan,nan,0.78612,0.53996,0.60937,0.34213,nan,nan,nan,0.0052975,0.0052975,0.0052975
97,122812,nan,nan,nan,0.78748,0.53958,0.60942,0.34212,nan,nan,nan,0.005248,0.005248,0.005248
98,124075,nan,nan,nan,0.7876,0.53949,0.60938,0.34206,nan,nan,nan,0.0051985,0.0051985,0.0051985
99,125337,nan,nan,nan,0.78641,0.53991,0.60944,0.34215,nan,nan,nan,0.005149,0.005149,0.005149
100,126600,nan,nan,nan,0.78795,0.53944,0.60943,0.34214,nan,nan,nan,0.0050995,0.0050995,0.0050995
101,127862,nan,nan,nan,0.78648,0.53986,0.60941,0.34214,nan,nan,nan,0.00505,0.00505,0.00505
102,129124,nan,nan,nan,0.7867,0.53985,0.60943,0.34213,nan,nan,nan,0.0050005,0.0050005,0.0050005
