epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3872.56,1.35234,0.45088,0.19344,0.82058,0.56404,0.59961,0.31449,0.9027,0.38478,0.10081,0.00999629,0.0033321,0.00999629,0.0033321,0.00999629,0.0033321,0.00999629,0.0033321
2,7737.02,1.23747,0.29579,0.10004,0.7894,0.49542,0.55026,0.2986,0.86685,0.46858,0.11199,0.0198313,0.00661044,0.0198313,0.00661044,0.0198313,0.00661044,0.0198313,0.00661044
3,11604.4,1.39275,0.28813,0.1421,0.55453,0.34049,0.38443,0.17073,1.04138,0.44617,0.1544,0.0295014,0.00983378,0.0295014,0.00983378,0.0295014,0.00983378,0.0295014,0.00983378
4,15468,1.49187,0.27232,0.18109,0.66188,0.34307,0.41511,0.192,0.98121,0.4985,0.156,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,19331.1,1.50582,0.27285,0.18398,0.67652,0.32819,0.39429,0.17864,1.0501,0.46081,0.15619,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,23191,1.51628,0.26526,0.19037,0.80826,0.3338,0.38332,0.14311,1.1404,0.38066,0.17315,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,27051.3,1.5043,0.26656,0.17766,0.74435,0.39016,0.44735,0.16358,1.10087,0.38696,0.16841,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,30928.7,1.55932,0.26244,0.19021,0.7356,0.32856,0.36658,0.121,1.18908,0.34131,0.18009,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,34814.8,1.57189,0.25746,0.18968,0.69206,0.27256,0.30659,0.08313,1.23595,0.33758,0.1941,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,38696.3,1.59462,0.25468,0.18963,0.68903,0.21268,0.22764,0.0515,1.32396,0.31084,0.21124,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
