case,op,tokens,routed_m,ms,mfu_percent,status,error,config_label,config_tile_m,config_tile_n,config_tile_k,config_num_warps,config_pingpong,config_is_dynamic_persistent,config_cluster_m,config_cluster_n,config_cluster_k,config_swap_ab,config_max_swizzle_size,config_device_capacity,config_use_tma_gather
online_target,out,24497,29446,0.41487998962402345,67.72514605654648,ok,,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.39791574478149416,70.61245568117621,ok,,m128_n256_cm1_cn2_pp0_dyn0_sw8,128,256,,,False,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.4467967987060547,62.887218472912295,ok,,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.3980458577473958,70.58937392851014,ok,,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.4283647855122884,65.5931786260695,ok,,m128_n128_cm2_cn1_pp1_dyn0_sw8,128,128,,,True,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.4370218594868978,64.293827146804,ok,,m128_n160_cm1_cn2_pp1_dyn0_sw8,128,160,,,True,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.43620052337646487,64.41488807883785,ok,,m128_n160_cm2_cn1_pp1_dyn0_sw8,128,160,,,True,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.3684800148010254,76.2532749799143,ok,,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.413427193959554,67.96313426826566,ok,,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.7459797541300456,37.66564405758287,ok,,m128_n208_cm1_cn2_pp1_dyn0_sw8,128,208,,,True,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.5077098528544108,55.342254508664645,ok,,m128_n208_cm2_cn1_pp1_dyn0_sw8,128,208,,,True,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.39287039438883464,71.51928039000136,ok,,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
online_target,out,24497,29446,0.3966101328531901,70.84490678816371,ok,,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
online_target,out,24497,29446,0.41285759607950845,68.05689942498813,ok,,m256_n128_cm1_cn1_pp0_dyn0_sw8,256,128,,,False,False,1,1,1,False,8,9,False
online_target,out,24497,29446,0.40475308100382484,69.41962695760175,ok,,m256_n128_cm1_cn2_pp0_dyn1_sw8,256,128,,,False,True,1,2,1,False,8,9,False
online_target,out,24497,29446,0.40728747049967445,68.98765596386775,ok,,m256_n128_cm1_cn2_pp0_dyn0_sw4,256,128,,,False,False,1,2,1,False,4,9,False
online_target,out,24497,29446,0.40215040842692057,69.86890303838014,ok,,m256_n128_cm2_cn1_pp0_dyn1_sw8,256,128,,,False,True,2,1,1,False,8,9,False
online_target,out,24497,29446,0.40839894612630206,68.7999030353421,ok,,m256_n128_cm2_cn1_pp0_dyn0_sw4,256,128,,,False,False,2,1,1,False,4,9,False
online_target,out,24497,29446,0.42749226888020836,65.7270550572203,ok,,m256_n160_cm1_cn1_pp0_dyn0_sw8,256,160,,,False,False,1,1,1,False,8,9,False
online_target,out,24497,29446,0.4117674509684245,68.23707854310248,ok,,m256_n160_cm1_cn2_pp0_dyn1_sw8,256,160,,,False,True,1,2,1,False,8,9,False
online_target,out,24497,29446,0.41770881017049155,67.26649572403586,ok,,m256_n160_cm1_cn2_pp0_dyn0_sw4,256,160,,,False,False,1,2,1,False,4,9,False
online_target,out,24497,29446,0.41296641031901044,68.03896682909473,ok,,m256_n160_cm2_cn1_pp0_dyn1_sw8,256,160,,,False,True,2,1,1,False,8,9,False
online_target,out,24497,29446,0.4201877276102702,66.86965384026297,ok,,m256_n160_cm2_cn1_pp0_dyn0_sw4,256,160,,,False,False,2,1,1,False,4,9,False
online_target,out,24497,29446,0.39883947372436523,70.44891427332402,ok,,m256_n192_cm1_cn1_pp0_dyn0_sw8,256,192,,,False,False,1,1,1,False,8,9,False
online_target,out,24497,29446,0.39209814071655275,71.66014060122093,ok,,m256_n192_cm1_cn2_pp0_dyn1_sw8,256,192,,,False,True,1,2,1,False,8,9,False
online_target,out,24497,29446,0.39400320053100585,71.31365393823582,ok,,m256_n192_cm1_cn2_pp0_dyn0_sw4,256,192,,,False,False,1,2,1,False,4,9,False
online_target,out,24497,29446,0.3896170616149902,72.11647194493509,ok,,m256_n192_cm2_cn1_pp0_dyn1_sw8,256,192,,,False,True,2,1,1,False,8,9,False
