case,tokens,routed_m,op,before_ms,after_ms,speedup,improvement_percent,before_mfu_percent,after_mfu_percent,before_config,after_config,before_tile_m,before_tile_n,before_tile_k,before_num_warps,before_pingpong,before_is_dynamic_persistent,before_cluster_m,before_cluster_n,before_cluster_k,before_swap_ab,before_max_swizzle_size,before_device_capacity,before_use_tma_gather,after_tile_m,after_tile_n,after_tile_k,after_num_warps,after_pingpong,after_is_dynamic_persistent,after_cluster_m,after_cluster_n,after_cluster_k,after_swap_ab,after_max_swizzle_size,after_device_capacity,after_use_tma_gather
online_target,24497,29446,out,0.41659648895263673,0.40746944427490234,1.0223993352286234,2.2399335228623363,67.4460986549984,68.95684642863449,m128_n128_cm1_cn2_pp1_dyn0_sw8,m128_n192_cm1_cn2_pp1_dyn0_sw4,128,128,,,True,False,1,2,1,False,8,9,False,128,192,,,True,False,1,2,1,False,4,9,False
m24k_tk36k,24576,36864,gated,1.172850570678711,1.1672595214843748,1.0047898938423103,0.4789893842310322,59.98406596716025,60.27138327537309,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,128,192,,,True,False,1,1,1,False,8,9,False
m24k_tk36k,24576,36864,out,0.515218563079834,0.515218563079834,1.0,0.0,68.27427333039641,68.27427333039641,m128_n128_cm1_cn2_pp1_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False,128,128,,,True,False,1,2,1,False,8,9,False
online_max,28940,36560,gated,1.184136962890625,1.184136962890625,1.0,0.0,58.922392942924404,58.922392942924404,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,128,256,,,False,False,2,1,1,False,8,9,False
online_max,28940,36560,out,0.526121597290039,0.521535358428955,1.008793725654382,0.8793725654381968,66.30803961010811,66.89113431911929,m128_n128_cm1_cn2_pp1_dyn0_sw8,m128_n256_cm1_cn1_pp0_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False,128,256,,,False,False,1,1,1,False,8,9,False
m32k_tk42k,32768,42598,gated,1.3815769958496094,1.3815769958496094,1.0,0.0,58.842381669988505,58.842381669988505,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,128,256,,,False,False,2,1,1,False,8,9,False
m32k_tk42k,32768,42598,out,0.5928467178344727,0.5928467178344727,1.0,0.0,68.56349073940315,68.56349073940315,m192_n128_cm1_cn2_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False,192,128,,,True,False,1,2,1,False,8,9,False
m40k_tk52k,40960,53248,gated,1.675524444580078,1.675524444580078,1.0,0.0,60.649700255822935,60.649700255822935,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,128,256,,,False,False,2,1,1,False,8,9,False
m40k_tk52k,40960,53248,out,0.732136344909668,0.732136344909668,1.0,0.0,69.39967947338003,69.39967947338003,m128_n192_cm1_cn2_pp1_dyn0_sw8,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False,128,192,,,True,False,1,2,1,False,8,9,False
m48k_tk64k,49152,65536,gated,2.086881332397461,2.086500473022461,1.000182535005347,0.01825350053470398,59.93193546458433,59.942875140744825,m128_n192_cm2_cn1_pp1_dyn0_sw8,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False,128,192,,,True,False,1,1,1,False,8,9,False
m48k_tk64k,49152,65536,out,0.9168608093261719,0.9168608093261719,1.0,0.0,68.20601124144932,68.20601124144932,m128_n192_cm2_cn1_pp1_dyn0_sw8,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False,128,192,,,True,False,2,1,1,False,8,9,False
