case,distribution,tokens,routed_m,skew_ratio,op,candidate_set,best_ms,mfu_percent,best_config,tile_m,tile_n,tile_k,num_warps,pingpong,is_dynamic_persistent,cluster_m,cluster_n,cluster_k,swap_ab,max_swizzle_size,device_capacity,use_tma_gather
online_min,random,12176,14395,1.0292462660646058,gated,before,0.5079071998596192,54.088311834707326,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
online_min,random,12176,14395,1.0292462660646058,gated,current_after,0.497490382194519,55.220852487473,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
online_min,random,12176,14395,1.0292462660646058,gated,expanded_after,0.497490382194519,55.220852487473,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False
online_min,random,12176,14395,1.0292462660646058,out,before,0.20959839820861814,65.53447746713394,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
online_min,random,12176,14395,1.0292462660646058,out,current_after,0.20959839820861814,65.53447746713394,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
online_min,random,12176,14395,1.0292462660646058,out,expanded_after,0.20959839820861814,65.53447746713394,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
m16k_tk20k,random,16384,19661,1.0506078022481053,gated,before,0.6245471954345703,60.07813846709199,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m16k_tk20k,random,16384,19661,1.0506078022481053,gated,current_after,0.6245471954345703,60.07813846709199,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m16k_tk20k,random,16384,19661,1.0506078022481053,gated,expanded_after,0.6245471954345703,60.07813846709199,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
m16k_tk20k,random,16384,19661,1.0506078022481053,out,before,0.28140959739685056,66.66729428143519,m256_n128_cm1_cn2_pp0_dyn0_sw8,256,128,,,False,False,1,2,1,False,8,9,False
