case,distribution,candidate_set,tokens,routed_m,skew_ratio,total_ms,weighted_mfu_percent,gated_ms,out_ms,gated_config,out_config
online_target,balanced,current_after,24497.0,29446.0,1.000339604700129,1.393791174888611,60.47779982995875,0.9736311912536622,0.4201599836349487,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
online_target,balanced,expanded_after,24497.0,29446.0,1.000339604700129,1.369219195842743,61.563133160570786,0.9736311912536622,0.39558800458908083,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm2_cn1_pp1_dyn0_sw4
online_max,balanced,before,28940.0,36560.0,1.0,1.6281999588012694,64.27851479346333,1.1301999568939207,0.4980000019073486,m128_n192_cm2_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
online_max,balanced,current_after,28940.0,36560.0,1.0,1.627356004714966,64.31184991808527,1.1293560028076173,0.4980000019073486,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
online_max,balanced,expanded_after,28940.0,36560.0,1.0,1.627356004714966,64.31184991808527,1.1293560028076173,0.4980000019073486,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m24k_tk36k,balanced,before,24576.0,36864.0,1.0,1.6279327869415283,64.82363390449385,1.1368167877197266,0.4911159992218017,m128_n192_cm2_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m24k_tk36k,balanced,current_after,24576.0,36864.0,1.0,1.624055242538452,64.97840482130118,1.1329392433166503,0.4911159992218017,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m24k_tk36k,balanced,expanded_after,24576.0,36864.0,1.0,1.624055242538452,64.97840482130118,1.1329392433166503,0.4911159992218017,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm1_cn2_pp1_dyn0_sw8
m32k_tk42k,balanced,before,32768.0,42598.0,1.000234752805296,1.9845831871032713,61.44510451203512,1.3917984008789062,0.5927847862243651,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8
m32k_tk42k,balanced,current_after,32768.0,42598.0,1.000234752805296,1.940876770019531,62.828780903571314,1.348091983795166,0.5927847862243651,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8
m32k_tk42k,balanced,expanded_after,32768.0,42598.0,1.000234752805296,1.9277639865875242,63.25614659927762,1.348091983795166,0.5796720027923584,m128_n192_cm1_cn1_pp1_dyn0_sw8,m192_n128_cm2_cn1_pp1_dyn0_sw4
m40k_tk52k,balanced,before,40960.0,53248.0,1.0,2.4272703886032105,62.79897110694201,1.6934495925903321,0.7338207960128784,m128_n192_cm2_cn1_pp1_dyn0_sw8,m128_n192_cm2_cn1_pp1_dyn0_sw8
m40k_tk52k,balanced,current_after,40960.0,53248.0,1.0,2.4015375852584837,63.47187066248746,1.6677167892456053,0.7338207960128784,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n192_cm2_cn1_pp1_dyn0_sw8
m40k_tk52k,balanced,expanded_after,40960.0,53248.0,1.0,2.4015375852584837,63.47187066248746,1.6677167892456053,0.7338207960128784,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n192_cm2_cn1_pp1_dyn0_sw8
m48k_tk64k,balanced,before,49152.0,65536.0,1.0,2.9395095825195314,63.82229781419297,2.034558391571045,0.9049511909484863,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n192_cm2_cn1_pp1_dyn0_sw8
m48k_tk64k,balanced,current_after,49152.0,65536.0,1.0,2.9395095825195314,63.82229781419297,2.034558391571045,0.9049511909484863,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n192_cm2_cn1_pp1_dyn0_sw8
m48k_tk64k,balanced,expanded_after,49152.0,65536.0,1.0,2.937517595291138,63.86557694291595,2.034558391571045,0.9029592037200928,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n192_cm2_cn1_pp1_dyn0_sw4
m4k_tk5k,random,before,4096.0,4915.0,1.0970498474059003,0.3460512012243271,40.65842459614654,0.26276240348815916,0.0832887977361679,m192_n128_cm2_cn1_pp1_dyn0_sw8,m192_n128_cm2_cn1_pp1_dyn0_sw8
m4k_tk5k,random,current_after,4096.0,4915.0,1.0970498474059003,0.31634560525417327,44.47634624189117,0.23305680751800537,0.0832887977361679,m128_n256_cm1_cn1_pp0_dyn0_sw8,m192_n128_cm2_cn1_pp1_dyn0_sw8
m4k_tk5k,random,expanded_after,4096.0,4915.0,1.0970498474059003,0.31634560525417327,44.47634624189117,0.23305680751800537,0.0832887977361679,m128_n256_cm1_cn1_pp0_dyn0_sw8,m192_n128_cm2_cn1_pp1_dyn0_sw8
m4k_tk7k,random,before,4096.0,7373.0,1.0937203309372032,0.34841359257698057,60.57822306274716,0.23385119438171387,0.11456239819526673,m128_n256_cm2_cn1_pp0_dyn0_sw8,m256_n192_cm2_cn1_pp0_dyn0_sw8
m4k_tk7k,random,current_after,4096.0,7373.0,1.0937203309372032,0.34841359257698057,60.57822306274716,0.23385119438171387,0.11456239819526673,m128_n256_cm2_cn1_pp0_dyn0_sw8,m256_n192_cm2_cn1_pp0_dyn0_sw8
m4k_tk7k,random,expanded_after,4096.0,7373.0,1.0937203309372032,0.34841359257698057,60.57822306274716,0.23385119438171387,0.11456239819526673,m128_n256_cm2_cn1_pp0_dyn0_sw8,m256_n192_cm2_cn1_pp0_dyn0_sw8
m8k_tk10k,random,before,8192.0,9830.0,1.0596134282807732,0.5002183973789215,56.25501478997831,0.3555055975914001,0.14471279978752136,m128_n256_cm2_cn1_pp0_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8
m8k_tk10k,random,current_after,8192.0,9830.0,1.0596134282807732,0.46977439522743225,59.90065365130667,0.32506159543991087,0.14471279978752136,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8
m8k_tk10k,random,expanded_after,8192.0,9830.0,1.0596134282807732,0.46977439522743225,59.90065365130667,0.32506159543991087,0.14471279978752136,m128_n192_cm1_cn1_pp1_dyn0_sw8,m128_n128_cm1_cn2_pp1_dyn0_sw8
