case,distribution,tokens,routed_m,skew_ratio,op,rank,ms,mfu_percent,config,tile_m,tile_n,tile_k,num_warps,pingpong,is_dynamic_persistent,cluster_m,cluster_n,cluster_k,swap_ab,max_swizzle_size,device_capacity,use_tma_gather,error
m8k_tk12k,random,8192,12288,1.0598958333333333,gated,1,0.4417184114456177,53.08989028475577,m128_n256_cm2_cn1_pp0_dyn0_sw4,128,256,,,False,False,2,1,1,False,4,9,False,
m8k_tk12k,random,8192,12288,1.0598958333333333,gated,2,0.46004960536956785,50.974463898444,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False,
m8k_tk12k,random,8192,12288,1.0598958333333333,gated,3,0.46317601203918457,50.630389724113165,m128_n256_cm1_cn1_pp0_dyn0_sw8,128,256,,,False,False,1,1,1,False,8,9,False,
m8k_tk12k,random,8192,12288,1.0598958333333333,gated,4,0.4646967887878418,50.46469561706171,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False,
m8k_tk12k,random,8192,12288,1.0598958333333333,gated,5,0.4661303997039795,50.30948853646338,m128_n224_cm2_cn1_pp0_dyn0_sw4,128,224,,,False,False,2,1,1,False,4,9,False,
m8k_tk12k,random,8192,12288,1.0598958333333333,out,1,0.18516079783439637,63.32545083700249,m128_n192_cm1_cn2_pp1_dyn0_sw4,128,192,,,True,False,1,2,1,False,4,9,False,
m8k_tk12k,random,8192,12288,1.0598958333333333,out,2,0.18517760038375852,63.31970484498529,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False,
m8k_tk12k,random,8192,12288,1.0598958333333333,out,3,0.19595199823379517,59.83807823287604,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False,
m8k_tk12k,random,8192,12288,1.0598958333333333,out,4,0.20016959309577942,58.577283486766774,m128_n192_cm1_cn2_pp1_dyn1_sw8,128,192,,,True,True,1,2,1,False,8,9,False,
m8k_tk12k,random,8192,12288,1.0598958333333333,out,5,0.20437920093536377,57.37076447378055,m192_n128_cm1_cn2_pp1_dyn0_sw4,192,128,,,True,False,1,2,1,False,4,9,False,
m12k_tk18k,random,12288,18432,1.0642361111111112,gated,1,0.607202410697937,57.93154371731512,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False,
m12k_tk18k,random,12288,18432,1.0642361111111112,gated,2,0.6087239980697632,57.786736044822874,m128_n192_cm1_cn1_pp1_dyn0_sw8,128,192,,,True,False,1,1,1,False,8,9,False,
m12k_tk18k,random,12288,18432,1.0642361111111112,gated,3,0.609171199798584,57.74431393381253,m128_n224_cm2_cn1_pp0_dyn0_sw4,128,224,,,False,False,2,1,1,False,4,9,False,
m12k_tk18k,random,12288,18432,1.0642361111111112,gated,4,0.626532793045044,56.14418493506966,m128_n256_cm2_cn1_pp0_dyn0_sw4,128,256,,,False,False,2,1,1,False,4,9,False,
m12k_tk18k,random,12288,18432,1.0642361111111112,gated,5,0.632153582572937,55.64497927455485,m128_n256_cm1_cn1_pp0_dyn0_sw8,128,256,,,False,False,1,1,1,False,8,9,False,
m12k_tk18k,random,12288,18432,1.0642361111111112,out,1,0.2606231927871704,67.4847326986209,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False,
m12k_tk18k,random,12288,18432,1.0642361111111112,out,2,0.27078399658203123,64.95245923802298,m192_n128_cm2_cn1_pp1_dyn0_sw4,192,128,,,True,False,2,1,1,False,4,9,False,
