case,op,tokens,routed_m,ms,mfu_percent,status,error,config_label,config_tile_m,config_tile_n,config_tile_k,config_num_warps,config_pingpong,config_is_dynamic_persistent,config_cluster_m,config_cluster_n,config_cluster_k,config_swap_ab,config_max_swizzle_size,config_device_capacity,config_use_tma_gather
online_min,out,12176,14395,0.21702186266581217,63.29280071520598,ok,,m128_n224_cm2_cn1_pp0_dyn0_sw8,128,224,,,False,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.2114986737569173,64.94566259236792,ok,,m128_n256_cm1_cn2_pp0_dyn0_sw8,128,256,,,False,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.20993280410766602,65.43008636947208,ok,,m128_n256_cm2_cn1_pp0_dyn0_sw8,128,256,,,False,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.2080405394236247,66.02521577095192,ok,,m128_n128_cm1_cn2_pp1_dyn0_sw8,128,128,,,True,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.21662294069925944,63.40935756947283,ok,,m128_n128_cm2_cn1_pp1_dyn0_sw8,128,128,,,True,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.22209919293721517,61.84588661892633,ok,,m128_n160_cm1_cn2_pp1_dyn0_sw8,128,160,,,True,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.22309759457906086,61.56911521375612,ok,,m128_n160_cm2_cn1_pp1_dyn0_sw8,128,160,,,True,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.1949333349863688,70.4647130030919,ok,,m128_n192_cm1_cn2_pp1_dyn0_sw8,128,192,,,True,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.20068480173746744,68.44525039080516,ok,,m128_n192_cm2_cn1_pp1_dyn0_sw8,128,192,,,True,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.38476587931315104,35.699427218105114,ok,,m128_n208_cm1_cn2_pp1_dyn0_sw8,128,208,,,True,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.26165332794189455,52.49664360317401,ok,,m128_n208_cm2_cn1_pp1_dyn0_sw8,128,208,,,True,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.19053014119466147,72.09316813824374,ok,,m192_n128_cm1_cn2_pp1_dyn0_sw8,192,128,,,True,False,1,2,1,False,8,9,False
online_min,out,12176,14395,0.22932480176289877,59.89723483442388,ok,,m192_n128_cm2_cn1_pp1_dyn0_sw8,192,128,,,True,False,2,1,1,False,8,9,False
online_min,out,12176,14395,0.20976212819417317,65.4833244818862,ok,,m256_n128_cm1_cn1_pp0_dyn0_sw8,256,128,,,False,False,1,1,1,False,8,9,False
online_min,out,12176,14395,0.2079210599263509,66.06315641818844,ok,,m256_n128_cm1_cn2_pp0_dyn1_sw8,256,128,,,False,True,1,2,1,False,8,9,False
online_min,out,12176,14395,0.20558932622273762,66.81242531856158,ok,,m256_n128_cm1_cn2_pp0_dyn0_sw4,256,128,,,False,False,1,2,1,False,4,9,False
online_min,out,12176,14395,0.20781440734863282,66.09706073701832,ok,,m256_n128_cm2_cn1_pp0_dyn1_sw8,256,128,,,False,True,2,1,1,False,8,9,False
online_min,out,12176,14395,0.20809812545776368,66.00694491761743,ok,,m256_n128_cm2_cn1_pp0_dyn0_sw4,256,128,,,False,False,2,1,1,False,4,9,False
