epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,3922.14,1.35174,0.44949,0.19361,0.83079,0.59108,0.62534,0.3009,0.9164,0.39942,0.11337,0.00999629,0.0033321,0.00999629,0.0033321,0.00999629,0.0033321,0.00999629,0.0033321
2,7832.96,1.28795,0.27426,0.10475,0.6814,0.43545,0.50066,0.22467,0.96065,0.45416,0.12581,0.0198313,0.00661044,0.0198313,0.00661044,0.0198313,0.00661044,0.0198313,0.00661044
3,11742.3,1.38754,0.28364,0.14047,0.5963,0.36567,0.40208,0.17148,1.08546,0.42416,0.16976,0.0295014,0.00983378,0.0295014,0.00983378,0.0295014,0.00983378,0.0295014,0.00983378
4,15650.2,1.48691,0.27153,0.1834,0.6768,0.3208,0.38713,0.2165,0.93228,0.52774,0.12156,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,19559.4,1.49338,0.27535,0.17287,0.79046,0.35354,0.42779,0.19595,1.00893,0.46446,0.14678,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,23471.2,1.50708,0.2663,0.18806,0.788,0.37398,0.43711,0.17918,1.10482,0.38919,0.16702,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,27381,1.48975,0.27715,0.17579,0.68562,0.33849,0.3817,0.11744,1.17002,0.36898,0.17371,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,31289.8,1.5324,0.26642,0.18895,0.67738,0.31228,0.34557,0.10027,1.1861,0.35907,0.17485,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,35194.2,1.55008,0.25804,0.18769,0.66086,0.30883,0.33863,0.09232,1.18958,0.35731,0.18172,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,39099.8,1.53572,0.2661,0.17738,0.67415,0.31529,0.34841,0.09124,1.1772,0.36712,0.18682,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
