epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4051.62,1.41614,0.98278,1.05649,0.90643,0.60424,0.66804,0.39547,2.22965,1.24411,0.79472,0.00999942,0.00333314,0.00999942,0.00333314,0.00999942,0.00333314,0.00999942,0.00333314
2,6975.29,1.53624,1.00737,1.10399,0.91257,0.62085,0.68753,0.41357,2.14773,1.16582,0.79318,0.0199004,0.00663347,0.0199004,0.00663347,0.0199004,0.00663347,0.0199004,0.00663347
3,816.283,1.42058,0.89858,1.10264,0.91288,0.62663,0.69423,0.41577,1.90946,0.99183,0.82046,0.0296979,0.0098993,0.0296979,0.0098993,0.0296979,0.0098993,0.0296979,0.0098993
4,1617.68,1.37721,0.85588,1.09232,0.93251,0.41946,0.54615,0.31974,2.18132,1.88,0.889,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,2415.65,1.2947,0.75696,1.05778,0.95964,0.36926,0.49873,0.29202,2.29591,2.16626,0.91337,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,3212.71,1.25015,0.70845,1.03796,0.96135,0.36955,0.49711,0.29026,2.31828,2.18182,0.91291,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,4009.84,1.22224,0.68043,1.0255,0.95548,0.39115,0.50978,0.29999,2.30269,2.06908,0.90191,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,4807.14,1.20003,0.65659,1.01842,0.94892,0.41871,0.53115,0.31432,2.26306,1.94214,0.88648,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,5604.1,1.1866,0.64395,1.01263,0.9403,0.45902,0.56903,0.34047,2.17659,1.75343,0.86532,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,6402.82,1.17138,0.63106,1.00711,0.92942,0.50988,0.61704,0.36998,2.08701,1.53513,0.84337,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,7226.6,1.16379,0.62321,1.00246,0.90649,0.56681,0.65986,0.39793,1.99839,1.30296,0.82505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,8058.74,1.15874,0.61883,0.99923,0.89555,0.61634,0.694,0.42092,1.92673,1.11152,0.81172,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,8887.03,1.14805,0.60817,0.99486,0.89458,0.65035,0.71948,0.44108,1.86106,0.97787,0.80265,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,9717.24,1.14601,0.60611,0.99599,0.90815,0.66884,0.73669,0.45801,1.81023,0.88668,0.79651,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,10546.6,1.13886,0.60023,0.9931,0.92527,0.68119,0.75036,0.4706,1.77292,0.82155,0.79199,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,11375.2,1.13354,0.59443,0.99057,0.93406,0.69284,0.76014,0.47947,1.74611,0.77407,0.7883,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,12205.6,1.13326,0.59463,0.98712,0.93996,0.70245,0.76838,0.48675,1.72317,0.73942,0.78526,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,13034.3,1.13078,0.59216,0.9903,0.93826,0.71263,0.77392,0.49276,1.70487,0.71492,0.78288,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,13865.8,1.12906,0.59086,0.99159,0.94259,0.71856,0.77805,0.49695,1.69182,0.69667,0.78109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,14694.6,1.1183,0.58225,0.98477,0.94526,0.72167,0.78264,0.5004,1.68015,0.68138,0.77956,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,15521.9,1.11982,0.58293,0.98527,0.94515,0.72654,0.78436,0.50308,1.67426,0.6707,0.77902,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
