epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,387.887,1.90852,4.33387,0.93341,0.82427,0.47375,0.52707,0.30118,2.35652,1.47068,0.83513,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328,0.009984,0.003328
2,741.014,1.98812,1.34644,0.93175,0.8042,0.46058,0.50839,0.27186,2.46437,1.57845,0.86506,0.0198851,0.00662836,0.0198851,0.00662836,0.0198851,0.00662836,0.0198851,0.00662836
3,1095.11,2.05298,1.33034,0.96311,0.64184,0.39226,0.416,0.22528,2.56087,3.25935,0.89299,0.0296872,0.00989572,0.0296872,0.00989572,0.0296872,0.00989572,0.0296872,0.00989572
4,1448.52,2.01846,1.24215,0.96297,0.81603,0.52048,0.57423,0.32104,2.25116,1.2693,0.84869,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,1801.31,1.94222,1.12348,0.94308,0.85187,0.55522,0.61395,0.34728,2.19763,1.13894,0.83297,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,2154.11,1.90176,1.05378,0.92841,0.85866,0.57523,0.63187,0.3589,2.15265,1.09134,0.82441,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,2507.02,1.87664,1.01028,0.92163,0.8673,0.5783,0.63921,0.37505,2.09724,1.07226,0.81273,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,2859.23,1.85708,0.97871,0.91423,0.87718,0.60815,0.66283,0.39346,2.05484,0.95206,0.80976,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,3213.06,1.83869,0.95484,0.91354,0.8876,0.61265,0.66979,0.40264,2.03185,0.96448,0.80427,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,3564.95,1.83541,0.95434,0.90919,0.89029,0.62144,0.67823,0.40846,2.00989,0.9127,0.80397,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,3918.64,1.82899,0.93864,0.90618,0.90027,0.63028,0.68892,0.41656,1.9836,0.86377,0.79825,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,4271.01,1.82035,0.92873,0.90216,0.90554,0.63951,0.69723,0.42216,1.97181,0.84362,0.79491,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,4622.27,1.81203,0.92348,0.90395,0.89979,0.63789,0.6962,0.426,1.9544,0.8317,0.79346,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,4974.86,1.80856,0.91366,0.89751,0.90046,0.64776,0.70269,0.43209,1.93305,0.82605,0.78756,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,5326.8,1.80863,0.90739,0.89973,0.91273,0.65628,0.70948,0.43879,1.92484,0.80609,0.7881,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,5677.45,1.80158,0.90303,0.8978,0.90023,0.66275,0.71045,0.442,1.91014,0.78759,0.78446,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,6029.25,1.79858,0.89156,0.89685,0.92319,0.65978,0.71767,0.44597,1.91025,0.7785,0.78434,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,6382.89,1.79342,0.89036,0.89569,0.91514,0.6641,0.7176,0.44781,1.90268,0.77134,0.78412,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,6734.19,1.79336,0.89005,0.89557,0.91714,0.66334,0.71908,0.44886,1.89215,0.77927,0.78186,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,7085.77,1.78842,0.89096,0.89165,0.92193,0.66798,0.72164,0.44975,1.89147,0.76073,0.78118,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,7437.35,1.78222,0.87444,0.89221,0.91967,0.66988,0.72372,0.45217,1.88056,0.74795,0.7794,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,7792.37,1.77688,0.86944,0.89263,0.91169,0.67229,0.72275,0.45349,1.87803,0.74791,0.77872,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,8146.86,1.77252,0.86906,0.89074,0.92014,0.67208,0.72556,0.45534,1.87593,0.74285,0.77927,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,8501.59,1.77741,0.86835,0.89109,0.91686,0.67299,0.72412,0.45583,1.87204,0.74348,0.77945,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,8858.23,1.77435,0.87245,0.89147,0.90761,0.67445,0.72321,0.45451,1.86928,0.74555,0.77942,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,9214.14,1.77582,0.87007,0.89096,0.91634,0.67229,0.72536,0.45712,1.86872,0.74628,0.77949,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,9569.72,1.77514,0.86502,0.8879,0.91899,0.67192,0.72503,0.45784,1.86802,0.74186,0.7795,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,9925.59,1.77041,0.85846,0.88867,0.91842,0.67369,0.72654,0.45874,1.86871,0.74039,0.77971,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,10280.7,1.76742,0.85754,0.88891,0.91449,0.67591,0.72665,0.45945,1.86647,0.7406,0.77975,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,10634.1,1.76736,0.85966,0.88935,0.91244,0.67661,0.72763,0.45943,1.86717,0.74513,0.77956,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,10985.4,1.76976,0.85941,0.88594,0.91197,0.67698,0.72736,0.45995,1.86602,0.74798,0.77935,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,11337.4,1.76634,0.85933,0.88582,0.90891,0.67488,0.72565,0.45952,1.86462,0.75154,0.77882,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,11691.7,1.76677,0.85451,0.88395,0.9083,0.67353,0.72547,0.45932,1.86401,0.75519,0.77828,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,12044,1.76531,0.84604,0.88441,0.90672,0.67396,0.72614,0.45952,1.86341,0.75395,0.77823,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,12395.2,1.75232,0.84315,0.88502,0.90956,0.67154,0.72603,0.45903,1.86337,0.75364,0.77813,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,12746.2,1.75318,0.84901,0.88352,0.91183,0.66975,0.72525,0.45831,1.86256,0.75414,0.77787,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,13097.5,1.76155,0.85427,0.88378,0.90962,0.67078,0.7251,0.45808,1.86173,0.7558,0.7777,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
