epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,25596.7,1.10349,0.57259,0.97957,0.94466,0.74833,0.79778,0.51642,1.6366,0.63581,0.77271,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,26431.2,1.10342,0.57244,0.97821,0.94243,0.75075,0.79957,0.51741,1.63331,0.63362,0.77217,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,27267.8,1.10297,0.57287,0.97878,0.94499,0.75033,0.79987,0.51813,1.63097,0.63153,0.77184,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,28102.6,1.10277,0.5723,0.97738,0.94533,0.7507,0.8006,0.51867,1.63015,0.63055,0.77162,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,28937.2,1.10163,0.57128,0.97649,0.94766,0.74968,0.80032,0.51912,1.62746,0.62849,0.77156,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,29772,1.09969,0.56841,0.97488,0.94674,0.75173,0.80153,0.52015,1.62507,0.62596,0.7709,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,30606.9,1.09644,0.56767,0.97507,0.94696,0.75103,0.80143,0.52024,1.62472,0.62495,0.77075,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,31438.8,1.09665,0.56817,0.97443,0.94795,0.75135,0.80127,0.52069,1.62354,0.62341,0.77048,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,32269.6,1.09533,0.56521,0.9747,0.94864,0.75286,0.80197,0.5213,1.62197,0.62115,0.7701,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,33099.8,1.08971,0.56203,0.97287,0.94967,0.7514,0.80199,0.52128,1.62226,0.62007,0.76995,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,33931,1.09729,0.56424,0.973,0.94867,0.75146,0.80214,0.5219,1.62046,0.61925,0.76946,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,34761.6,1.09267,0.56458,0.97264,0.94835,0.75264,0.80258,0.52229,1.61865,0.6175,0.76892,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,35592,1.08815,0.56206,0.97245,0.94817,0.75291,0.80317,0.5227,1.61637,0.61728,0.76819,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,36422.4,1.0863,0.5586,0.96999,0.94978,0.75351,0.80407,0.52291,1.61518,0.61548,0.76772,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,37253.2,1.08571,0.55869,0.96905,0.95144,0.75253,0.80396,0.5236,1.61466,0.61375,0.76736,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,38083.5,1.08588,0.55772,0.97146,0.95037,0.75448,0.80445,0.5237,1.61316,0.61194,0.7671,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,38915.7,1.08274,0.55623,0.97152,0.94952,0.75545,0.80492,0.5247,1.61216,0.61037,0.7673,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,39749.1,1.08239,0.55434,0.96656,0.95004,0.75528,0.80562,0.52554,1.60994,0.60898,0.76694,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,40582.4,1.08228,0.55502,0.97166,0.94924,0.75464,0.80565,0.52566,1.60823,0.6068,0.76687,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,41416.8,1.07967,0.55334,0.96558,0.94891,0.75622,0.80586,0.52625,1.60723,0.60607,0.76641,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,42251.5,1.074,0.54836,0.96769,0.94876,0.75391,0.80566,0.5262,1.60773,0.60585,0.76583,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,43086.2,1.07607,0.54885,0.96669,0.9485,0.75431,0.80553,0.52652,1.6065,0.60563,0.7657,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,43917.1,1.0744,0.54645,0.96525,0.9482,0.75367,0.80511,0.52637,1.60654,0.60678,0.7652,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,44746.2,1.07535,0.54847,0.96756,0.94803,0.75475,0.80528,0.52645,1.60608,0.60611,0.76501,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,45568.8,1.07393,0.54678,0.96458,0.94684,0.75674,0.80614,0.52663,1.60454,0.60634,0.76486,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
