epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,825.339,1.21972,0.88817,1.01566,0.87879,0.57231,0.63133,0.35307,2.14404,1.17578,0.83203,0.00999484,0.00333161,0.00999484,0.00333161,0.00999484,0.00333161,0.00999484,0.00333161
2,1639.2,1.38946,0.86787,1.06777,0.86287,0.54923,0.60878,0.33847,2.1718,1.2786,0.85358,0.0198959,0.00663195,0.0198959,0.00663195,0.0198959,0.00663195,0.0198959,0.00663195
3,2452.4,1.45593,0.9405,1.11057,0.87701,0.56373,0.62444,0.35196,2.14824,1.2417,0.84564,0.0296979,0.0098993,0.0296979,0.0098993,0.0296979,0.0098993,0.0296979,0.0098993
4,3267.75,1.38989,0.86675,1.09393,0.91009,0.63627,0.69996,0.41868,1.92192,0.97427,0.8194,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,4083.05,1.29778,0.76313,1.05715,0.91597,0.67716,0.73497,0.45235,1.8298,0.83999,0.80488,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,4896.03,1.25033,0.71219,1.03825,0.92949,0.69521,0.75245,0.46885,1.77133,0.78362,0.79638,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,5709.23,1.22607,0.6877,1.03046,0.93294,0.70674,0.76374,0.47992,1.74001,0.74625,0.79204,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,6522.47,1.2056,0.6652,1.02106,0.93442,0.71624,0.77017,0.48663,1.71718,0.72329,0.78877,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,7337.37,1.19081,0.64973,1.01461,0.93448,0.72137,0.77435,0.49098,1.7057,0.71269,0.78658,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,8149.64,1.18388,0.6403,1.0111,0.93811,0.72255,0.7764,0.49342,1.70009,0.70784,0.78476,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,8962.75,1.1708,0.62981,1.00305,0.93979,0.72554,0.77902,0.49543,1.69476,0.70274,0.78314,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,9777.1,1.16563,0.6245,1.00479,0.93812,0.72844,0.78115,0.49764,1.69075,0.69779,0.78218,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,10590.3,1.15804,0.618,1.00023,0.93989,0.72951,0.7823,0.49895,1.68797,0.69425,0.78156,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,11401.7,1.14908,0.61159,0.99502,0.94005,0.73063,0.78312,0.50053,1.68459,0.69076,0.78086,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,12215.4,1.15222,0.61085,0.99472,0.93872,0.73267,0.78421,0.50167,1.68182,0.68766,0.78005,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,13027.4,1.14879,0.6067,0.99616,0.94045,0.7332,0.78537,0.50333,1.67674,0.68304,0.77944,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,13838.5,1.14499,0.60484,0.99423,0.93974,0.73388,0.78648,0.50384,1.67318,0.6787,0.77892,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,14648.8,1.13333,0.59492,0.98994,0.94036,0.73522,0.78719,0.50511,1.67136,0.67517,0.77826,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,15460.1,1.13389,0.5975,0.987,0.94306,0.73414,0.78754,0.50637,1.66713,0.67191,0.77755,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,16274.3,1.13269,0.5983,0.99026,0.944,0.73522,0.78921,0.50751,1.66377,0.66757,0.77711,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,17086.1,1.12897,0.59389,0.98886,0.94467,0.73567,0.79011,0.50864,1.66181,0.66403,0.77623,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,17898.2,1.12699,0.58978,0.98646,0.94486,0.73814,0.79109,0.5097,1.65898,0.65943,0.77573,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,18713.3,1.12219,0.58503,0.98516,0.94543,0.73906,0.792,0.51012,1.65611,0.65629,0.77518,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,19524.6,1.1183,0.58348,0.9839,0.94789,0.739,0.79359,0.51038,1.65416,0.65311,0.77475,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,20337.8,1.11218,0.58145,0.98254,0.9479,0.73875,0.79418,0.51127,1.65039,0.64934,0.77424,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,21152.3,1.11682,0.58172,0.98456,0.9492,0.73846,0.79445,0.51169,1.64777,0.64603,0.77364,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,21964.1,1.11128,0.58106,0.98267,0.94782,0.73986,0.79491,0.51257,1.64443,0.64267,0.7734,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,22776.2,1.11619,0.58021,0.9823,0.9463,0.74267,0.79593,0.51317,1.64279,0.64118,0.77287,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,23587.9,1.11666,0.58005,0.9816,0.9442,0.74279,0.79668,0.51422,1.64105,0.63959,0.77256,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,24399.7,1.11079,0.57919,0.97874,0.94657,0.74333,0.79782,0.51536,1.63726,0.63819,0.77179,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,25210.7,1.10466,0.57283,0.97664,0.94649,0.74434,0.79854,0.51569,1.63608,0.63625,0.77143,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,26024,1.10356,0.57165,0.97583,0.94486,0.74606,0.79901,0.51659,1.63349,0.63372,0.77092,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,26836.4,1.10176,0.57191,0.97786,0.94659,0.74531,0.79944,0.51764,1.63195,0.63221,0.77092,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,27647.6,1.10338,0.57196,0.9782,0.94579,0.7473,0.80043,0.51802,1.6302,0.62989,0.77071,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,28458.9,1.10217,0.57261,0.97775,0.94561,0.74865,0.80058,0.51899,1.62871,0.62691,0.77076,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,29271.9,1.09883,0.56916,0.97514,0.94649,0.74784,0.80032,0.51951,1.62595,0.62471,0.77002,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,30084.6,1.09643,0.56786,0.97506,0.94719,0.74849,0.80137,0.51974,1.62376,0.62201,0.76994,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,30896,1.09591,0.56742,0.97658,0.94627,0.74941,0.80181,0.52013,1.62201,0.62059,0.76956,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,31708.6,1.09701,0.56475,0.97556,0.94606,0.74827,0.80225,0.52093,1.6216,0.61951,0.76916,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,32520.5,1.09025,0.56171,0.97317,0.94605,0.7493,0.80223,0.52158,1.62007,0.61847,0.76898,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
