epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1350.99,1.96228,1.77664,1.67416,0.73222,0.4615,0.52059,0.28484,2.13003,1.85217,1.11325,0.00333256,0.00333256,0.070007
2,2671.47,1.56074,1.22685,1.3665,0.8299,0.59275,0.66692,0.39164,1.85125,1.41902,1.02141,0.00663289,0.00663289,0.039974
3,5191.14,1.56972,1.2802,1.38129,0.73222,0.4615,0.52059,0.28484,2.13003,1.85217,1.11325,0.00990023,0.00990023,0.00990799
4,6486.68,nan,nan,nan,0.83804,0.57898,0.65507,0.37986,nan,nan,nan,0.0098515,0.0098515,0.0098515
5,9002.73,1.56854,1.28076,1.38328,0.73222,0.4615,0.52059,0.28484,2.13003,1.85217,1.11325,0.009802,0.009802,0.009802
6,10298.2,1.581,1.26556,1.38417,0.83654,0.58547,0.65994,0.38048,1.89605,1.36737,1.02696,0.0097525,0.0097525,0.0097525
7,12820.1,1.5701,1.28037,1.38666,0.73222,0.4615,0.52059,0.28484,2.13003,1.85217,1.11325,0.009703,0.009703,0.009703
8,14495.3,nan,nan,nan,0.15302,0.00232,0.00576,0.0009,nan,nan,nan,0.0096535,0.0096535,0.0096535
9,17011,1.56955,1.27863,1.38461,0.73222,0.4615,0.52059,0.28484,2.13003,1.85217,1.11325,0.009604,0.009604,0.009604
10,18307.3,1.57715,1.25952,1.37708,0.83478,0.58551,0.659,0.38808,1.8549,1.35996,1.01803,0.0095545,0.0095545,0.0095545
11,20835.9,1.56976,1.28114,1.38314,0.73222,0.4615,0.52059,0.28484,2.13003,1.85217,1.11325,0.009505,0.009505,0.009505
12,22130.9,1.57885,1.26073,1.38316,0.82928,0.58693,0.66035,0.38946,1.86026,1.37462,1.02194,0.0094555,0.0094555,0.0094555
13,24656.5,1.56711,1.28148,1.38376,0.73222,0.4615,0.52059,0.28484,2.13003,1.85217,1.11325,0.009406,0.009406,0.009406
14,25951.8,1.57659,1.25855,1.38008,0.83535,0.58089,0.65969,0.38656,1.83732,1.35281,1.0174,0.0093565,0.0093565,0.0093565
15,27243.7,1.41809,1.03109,1.27888,0.01836,0.68108,0.01465,0.00749,1.82919,inf,1.00834,0.009307,0.009307,0.009307
16,29764.8,1.56876,1.28159,1.38798,0.73222,0.4615,0.52059,0.28484,2.13003,1.85217,1.11325,0.0092575,0.0092575,0.0092575
17,31060.1,1.57462,1.25426,1.37122,0.8272,0.57386,0.6533,0.37643,1.89377,1.39628,1.02175,0.009208,0.009208,0.009208
18,32350.9,1.41335,1.02048,1.27222,0.84244,0.61136,0.67907,0.40426,1.83079,1.38821,0.99517,0.0091585,0.0091585,0.0091585
19,34871.8,1.57376,1.28449,1.38386,0.73222,0.4615,0.52059,0.28484,2.13003,1.85217,1.11325,0.009109,0.009109,0.009109
20,36166.9,1.57049,1.24782,1.37399,0.83701,0.58089,0.66348,0.38771,1.82192,1.34872,1.01411,0.0090595,0.0090595,0.0090595
21,37457.1,1.41308,1.02274,1.27343,0.87631,0.59144,0.67158,0.40942,1.80299,1.38787,0.99436,0.00901,0.00901,0.00901
22,39978.6,1.56796,1.28063,1.38455,0.73222,0.4615,0.52059,0.28484,2.13003,1.85217,1.11325,0.0089605,0.0089605,0.0089605
23,41274.8,1.5669,1.24633,1.37397,0.8337,0.57048,0.65172,0.38283,1.8563,1.47147,1.02223,0.008911,0.008911,0.008911
24,42565.1,1.41363,1.02323,1.27642,0.85491,0.59451,0.67403,0.40581,1.7814,1.42003,0.99645,0.0088615,0.0088615,0.0088615
25,45083.6,1.56702,1.28117,1.38353,0.73222,0.4615,0.52059,0.28484,2.13003,1.85217,1.11325,0.008812,0.008812,0.008812
26,46379,nan,nan,nan,0.84168,0.55988,0.63682,0.37455,nan,nan,nan,0.0087625,0.0087625,0.0087625
27,48899.8,1.56801,1.27722,1.38309,0.73222,0.4615,0.52059,0.28484,2.13003,1.85217,1.11325,0.008713,0.008713,0.008713
28,50194.9,1.56462,1.24399,1.37472,0.84765,0.58423,0.66767,0.39267,1.83694,1.33068,1.01699,0.0086635,0.0086635,0.0086635
