step,baseline_A,R2_B,R3_C,r3_vs_baseline_ratio
5,2.72e-3,2.65e-3,5.86e-5,45
25,2.47e-3,2.52e-3,8.34e-5,30
50,4.23e-3,2.83e-3,1.30e-4,32
100,5.67e-3,,,
